,,,,,,,,,,,,,,,,
,"Annexure -1, Result Summary ",,,,,,,,,,,,,,,
,S. No.,Scheme,Batch ID,TP Name,TC Name,State,District,Job Role,Job Code,Assessment Date,Candidates Enrolled,Assessed,Pass,Fail,Absent,Result Shared
,1,Schneider - CSR,SE-ACF01-LK-2025-03,Ambuja Foundation,SEDI Lucknow,Uttar Pradesh,Lucknow,Electrician, ELE/Q5804,28-Mar-26,13,13,13,0,0,31-Mar-26
